dep_id,application_id,application_name,library,version,license,dependency_type,last_updated,transitive_deps
DEP-0071,APP-002,PaymentService,postgresql-jdbc,2.13.9,Unlicense,direct,2025-04-18,bandit:2.3.1;logback-classic:3.10.2
DEP-0072,APP-002,PaymentService,slf4j-api,2.5.8,Dual-MIT/Commercial,direct,2025-10-05,log4j-core:4.10.5
DEP-0073,APP-002,PaymentService,micrometer-core,5.9.6,MPL-2.0,direct,2020-04-25,
DEP-0074,APP-002,PaymentService,mapstruct,2.9.10,BSD-2-Clause,direct,2025-12-07,
DEP-0075,APP-002,PaymentService,golangci-lint,4.3.9,Unlicense,direct,2025-07-04,
DEP-0076,APP-002,PaymentService,hibernate-core,3.1.6,BSD-2-Clause,direct,2024-07-26,
DEP-0077,APP-002,PaymentService,jackson-databind,2.11.9,Apache-2.0,direct,2024-11-29,jackson-annotations:1.6.0;testify:4.4.4;netty-handler:3.2.1
DEP-0078,APP-002,PaymentService,kafka-clients,1.10.7,BSD-2-Clause,direct,2026-03-03,log4j-core:3.7.4
DEP-0079,APP-002,PaymentService,log4j-api,5.11.1,Apache-2.0,direct,2025-10-31,
DEP-0080,APP-002,PaymentService,psycopg2,1.11.3,BSD-2-Clause,direct,2026-02-24,logback-classic:1.1.5
DEP-0081,APP-002,PaymentService,commons-collections4,3.14.3,MIT,direct,2025-04-25,aiohttp:1.6.2
DEP-0082,APP-002,PaymentService,junit-jupiter,5.9.0,Dual-MIT/Commercial,direct,2025-10-12,
DEP-0083,APP-002,PaymentService,jetty-server,2.10.8,Dual-MIT/Commercial,direct,2024-06-08,morgan:2.10.3
DEP-0084,APP-002,PaymentService,mysql-connector-java,1.6.8,BSD-3-Clause,direct,2024-08-13,testify:4.5.0;h2-database:1.1.0
DEP-0085,APP-002,PaymentService,bouncycastle-bcprov,2.8.8,BSD-3-Clause,direct,2026-03-08,disruptor:1.6.5
DEP-0086,APP-002,PaymentService,h2-database,1.12.0,ISC,transitive,2023-11-05,
DEP-0087,APP-002,PaymentService,jackson-annotations,3.9.1,BSD-3-Clause,transitive,2026-04-08,
DEP-0088,APP-002,PaymentService,testify,2.2.6,BSD-2-Clause,transitive,2024-10-26,
DEP-0089,APP-002,PaymentService,morgan,3.0.8,MIT,transitive,2023-05-06,
DEP-0090,APP-002,PaymentService,protobuf-java,3.3.5,Dual-MIT/Commercial,transitive,2024-11-12,
DEP-0091,APP-002,PaymentService,disruptor,2.3.4,Dual-MIT/Commercial,transitive,2024-07-26,
DEP-0092,APP-002,PaymentService,commons-lang3,4.10.8,BSD-2-Clause,transitive,2024-01-26,
DEP-0093,APP-002,PaymentService,commons-codec,3.5.2,BSD-2-Clause,transitive,2024-12-16,
DEP-0094,APP-002,PaymentService,logback-classic,3.7.7,Unlicense,transitive,2026-01-01,
DEP-0095,APP-002,PaymentService,lombok,3.12.5,BSD-2-Clause,transitive,2025-01-13,
DEP-0096,APP-002,PaymentService,log4j-core,4.4.5,BSD-3-Clause,transitive,2025-06-03,
DEP-0097,APP-002,PaymentService,spring-core,3.7.8,MIT,transitive,2024-10-22,
DEP-0098,APP-002,PaymentService,aiohttp,2.4.1,Dual-MIT/Commercial,transitive,2024-07-02,
DEP-0099,APP-002,PaymentService,netty-handler,4.12.3,ISC,transitive,2025-12-05,
DEP-0100,APP-002,PaymentService,bandit,3.6.3,Dual-MIT/Commercial,transitive,2025-09-19,
DEP-0101,APP-003,InternalAPI,requests,4.15.9,GPL-2.0,direct,2025-01-22,
DEP-0102,APP-003,InternalAPI,pip,2.4.2,Unlicense,direct,2025-05-05,django:4.7.1;scikit-learn:2.10.3
DEP-0103,APP-003,InternalAPI,twisted,2.5.2,UNKNOWN,direct,2024-07-28,
DEP-0104,APP-003,InternalAPI,setuptools,2.12.9,Unlicense,direct,2025-03-18,uvicorn:4.7.1;django:2.6.4;urllib3:2.9.1
DEP-0105,APP-003,InternalAPI,numpy,5.8.2,ISC,direct,2022-02-13,click:1.3.4
DEP-0106,APP-003,InternalAPI,aws-sdk-s3,5.13.2,ISC,direct,2022-12-24,click:1.7.5
DEP-0107,APP-003,InternalAPI,junit-jupiter,4.13.5,Dual-MIT/Commercial,direct,2025-06-26,go-redis:1.6.1
DEP-0108,APP-003,InternalAPI,black,3.15.3,ISC,direct,2024-12-11,
DEP-0109,APP-003,InternalAPI,psycopg2,1.3.8,AGPL-3.0,direct,2025-04-20,click:2.6.5
DEP-0110,APP-003,InternalAPI,pydantic,5.8.4,BSD-2-Clause,direct,2025-07-12,boto3:4.2.2;werkzeug:4.4.2
DEP-0111,APP-003,InternalAPI,log4j-api,2.3.3,Apache-2.0,direct,2025-05-13,urllib3:1.2.3;gunicorn:1.1.1
DEP-0112,APP-003,InternalAPI,paramiko,1.2.4,LGPL-2.1,direct,2025-07-16,werkzeug:3.9.0
DEP-0113,APP-003,InternalAPI,markupsafe,2.15.7,AGPL-3.0,direct,2025-11-13,
DEP-0114,APP-003,InternalAPI,pandas,5.5.10,MPL-2.0,direct,2021-07-19,idna:4.6.4;scikit-learn:2.8.0
DEP-0115,APP-003,InternalAPI,bandit,1.2.8,BSD-2-Clause,direct,2025-03-11,
DEP-0116,APP-003,InternalAPI,cryptography,4.12.9,GPL-2.0,direct,2024-09-18,werkzeug:3.5.0
DEP-0117,APP-003,InternalAPI,sqlalchemy,5.8.8,BSD-3-Clause,direct,2025-02-05,go-redis:4.9.0;django:4.1.2
DEP-0118,APP-003,InternalAPI,redis-py,2.10.6,LGPL-2.1,direct,2024-09-04,gunicorn:3.1.4
DEP-0119,APP-003,InternalAPI,pyyaml,2.15.5,Unlicense,direct,2024-12-12,uvicorn:2.3.2
DEP-0120,APP-003,InternalAPI,node-fetch,2.11.2,LGPL-3.0,direct,2024-06-07,werkzeug:4.5.4;colly:3.7.4
DEP-0121,APP-003,InternalAPI,httpx,4.5.8,MIT,direct,2025-08-08,werkzeug:1.8.2
DEP-0122,APP-003,InternalAPI,coverage,2.14.1,MIT,direct,2025-06-24,idna:3.9.2
DEP-0123,APP-003,InternalAPI,zap,2.8.3,Apache-2.0,direct,2025-01-02,go-redis:3.5.3
DEP-0124,APP-003,InternalAPI,fastapi,5.4.9,Dual-MIT/Commercial,direct,2025-08-17,uvicorn:2.7.0;celery:2.6.3
DEP-0125,APP-003,InternalAPI,mocha,2.10.7,BSD-3-Clause,direct,2020-11-30,
DEP-0126,APP-003,InternalAPI,jinja2,3.15.10,BSD-2-Clause,direct,2025-02-19,boto3:1.5.5
DEP-0127,APP-003,InternalAPI,python-dateutil,5.6.9,Dual-MIT/Commercial,direct,2025-04-29,django:4.1.3
DEP-0128,APP-003,InternalAPI,flask,5.9.7,Dual-MIT/Commercial,direct,2025-08-06,urllib3:4.1.0
DEP-0129,APP-003,InternalAPI,wheel,2.10.3,ISC,direct,2025-03-05,go-redis:3.9.4;pytest:4.6.1
DEP-0130,APP-003,InternalAPI,certifi,2.0.2,Unlicense,direct,2025-01-02,
DEP-0131,APP-003,InternalAPI,botocore,4.1.0,MIT,direct,2024-11-07,
DEP-0132,APP-003,InternalAPI,rich,4.9.3,Apache-2.0,direct,2024-11-22,
DEP-0133,APP-003,InternalAPI,ansible-core,3.10.7,ISC,direct,2025-12-05,
DEP-0134,APP-003,InternalAPI,pyjwt,5.13.8,BSD-3-Clause,direct,2024-08-31,idna:4.4.1
DEP-0135,APP-003,InternalAPI,fabric,5.4.5,BSD-3-Clause,direct,2025-10-02,
DEP-0136,APP-003,InternalAPI,colly,3.9.3,Apache-2.0,transitive,2025-12-27,
DEP-0137,APP-003,InternalAPI,click,4.6.3,BSD-3-Clause,transitive,2025-01-12,
DEP-0138,APP-003,InternalAPI,celery,2.8.4,Dual-MIT/Commercial,transitive,2024-12-10,
DEP-0139,APP-003,InternalAPI,uvicorn,2.2.4,BSD-3-Clause,transitive,2026-02-28,
DEP-0140,APP-003,InternalAPI,safety,4.3.5,GPL-2.0,transitive,2024-06-23,
DEP-0141,APP-003,InternalAPI,idna,2.1.4,Unlicense,transitive,2020-07-03,
DEP-0142,APP-003,InternalAPI,boto3,2.5.6,BSD-2-Clause,transitive,2024-07-03,
DEP-0143,APP-003,InternalAPI,django,1.4.6,Apache-2.0,transitive,2025-02-12,
DEP-0144,APP-003,InternalAPI,werkzeug,1.1.3,Apache-2.0,transitive,2024-07-05,
DEP-0145,APP-003,InternalAPI,urllib3,2.7.6,BSD-2-Clause,transitive,2024-01-31,
DEP-0146,APP-003,InternalAPI,scikit-learn,3.7.4,Dual-MIT/Commercial,transitive,2024-09-24,
DEP-0147,APP-003,InternalAPI,gunicorn,3.0.2,BSD-3-Clause,transitive,2024-06-10,
DEP-0148,APP-003,InternalAPI,go-redis,4.11.2,Apache-2.0,transitive,2026-02-24,
DEP-0149,APP-003,InternalAPI,pytest,1.5.2,Apache-2.0,transitive,2025-04-21,
DEP-0150,APP-003,InternalAPI,pillow,3.12.7,UNKNOWN,transitive,2024-10-16,
DEP-0151,APP-004,HRPortal,coverage,5.12.10,MIT,direct,2026-02-11,flask:4.1.3;charset-normalizer:1.5.4
DEP-0152,APP-004,HRPortal,morgan,4.11.0,MPL-2.0,direct,2024-08-19,celery:2.8.3;pillow:2.3.4;uvicorn:2.9.5
DEP-0153,APP-004,HRPortal,sqlalchemy,5.13.1,Unlicense,direct,2024-09-15,
DEP-0154,APP-004,HRPortal,paramiko,5.10.10,BSD-2-Clause,direct,2025-12-16,bcrypt:4.10.3;uvicorn:3.9.1;matplotlib:2.6.4
DEP-0155,APP-004,HRPortal,gunicorn,3.11.7,BSD-2-Clause,direct,2025-11-13,
DEP-0156,APP-004,HRPortal,numpy,1.9.3,Unlicense,direct,2025-12-19,psycopg2:2.1.0
DEP-0157,APP-004,HRPortal,pytest,2.8.5,BSD-2-Clause,direct,2022-03-29,charset-normalizer:1.5.3
DEP-0158,APP-004,HRPortal,python-dateutil,2.15.9,MIT,direct,2026-01-12,setuptools:1.5.2
DEP-0159,APP-004,HRPortal,cors,4.13.1,ISC,direct,2026-03-12,click:3.8.0;flask:3.8.4
DEP-0160,APP-004,HRPortal,django,2.10.8,BSD-3-Clause,direct,2026-01-31,pillow:2.6.2
DEP-0161,APP-004,HRPortal,mypy,2.4.5,LGPL-2.1,direct,2025-07-14,setuptools:2.2.3
DEP-0162,APP-004,HRPortal,boto3,4.6.8,MIT,direct,2025-08-15,matplotlib:1.1.5
DEP-0163,APP-004,HRPortal,httpx,3.6.5,Apache-2.0,direct,2026-02-22,setuptools:2.7.0;hibernate-core:2.3.5
DEP-0164,APP-004,HRPortal,scipy,1.3.0,Dual-MIT/Commercial,direct,2024-06-15,setuptools:1.4.3
DEP-0165,APP-004,HRPortal,moment,2.6.3,ISC,direct,2024-10-23,six:1.6.4
DEP-0166,APP-004,HRPortal,fastapi,5.1.4,ISC,direct,2025-09-20,flask:1.6.5
DEP-0167,APP-004,HRPortal,twisted,3.11.1,AGPL-3.0,direct,2025-06-25,scikit-learn:1.5.3
DEP-0168,APP-004,HRPortal,pyjwt,5.2.2,Unlicense,direct,2021-05-21,requests:4.2.0;bcrypt:3.10.2;hibernate-core:3.10.2
DEP-0169,APP-004,HRPortal,uuid,1.8.6,LGPL-3.0,direct,2025-01-17,
DEP-0170,APP-004,HRPortal,formidable,4.4.1,Dual-MIT/Commercial,direct,2025-01-19,psycopg2:2.6.2
DEP-0171,APP-004,HRPortal,pyyaml,5.10.7,ISC,direct,2024-12-25,requests:2.6.1;scikit-learn:2.5.0
DEP-0172,APP-004,HRPortal,idna,2.10.2,BSD-3-Clause,direct,2025-04-07,matplotlib:3.2.1
DEP-0173,APP-004,HRPortal,bandit,1.8.9,Unlicense,direct,2020-06-11,hibernate-core:2.8.4
DEP-0174,APP-004,HRPortal,ansible-core,3.5.6,MIT,direct,2024-06-16,click:2.3.0;charset-normalizer:2.7.4;scikit-learn:4.5.3
DEP-0175,APP-004,HRPortal,urllib3,4.12.0,BSD-3-Clause,direct,2026-01-07,celery:1.8.0
DEP-0176,APP-004,HRPortal,aiohttp,2.12.0,MIT,direct,2025-08-25,requests:3.7.1
DEP-0177,APP-004,HRPortal,pandas,5.4.7,MIT,direct,2026-01-21,scikit-learn:4.6.2;celery:4.0.1;rich:4.9.5
DEP-0178,APP-004,HRPortal,cryptography,2.14.1,Dual-MIT/Commercial,direct,2024-10-05,
DEP-0179,APP-004,HRPortal,pydantic,4.11.1,ISC,direct,2024-11-11,click:1.2.2
DEP-0180,APP-004,HRPortal,caffeine,2.4.2,Unlicense,direct,2025-08-31,
DEP-0181,APP-004,HRPortal,markupsafe,2.0.9,UNKNOWN,direct,2025-10-24,flask:4.3.1
DEP-0182,APP-004,HRPortal,typescript,4.13.7,ISC,direct,2026-03-06,uvicorn:2.0.1
DEP-0183,APP-004,HRPortal,hibernate-validator,1.4.0,MIT,direct,2022-05-03,rich:2.7.5;six:3.0.0;requests:3.5.2
DEP-0184,APP-004,HRPortal,botocore,1.13.8,Dual-MIT/Commercial,direct,2025-11-22,charset-normalizer:2.9.0
DEP-0185,APP-004,HRPortal,safety,1.2.7,Unlicense,direct,2026-02-14,requests:3.2.4;celery:4.8.5
DEP-0186,APP-004,HRPortal,flask,4.7.2,BSD-2-Clause,transitive,2024-06-02,
DEP-0187,APP-004,HRPortal,pillow,1.0.7,Dual-MIT/Commercial,transitive,2026-02-21,
DEP-0188,APP-004,HRPortal,rich,4.0.5,Apache-2.0,transitive,2021-02-16,
DEP-0189,APP-004,HRPortal,charset-normalizer,3.4.1,BSD-2-Clause,transitive,2024-09-25,
DEP-0190,APP-004,HRPortal,requests,3.6.0,Dual-MIT/Commercial,transitive,2026-04-20,
DEP-0191,APP-004,HRPortal,bcrypt,1.10.2,Dual-MIT/Commercial,transitive,2025-05-10,
DEP-0192,APP-004,HRPortal,click,1.8.4,ISC,transitive,2024-12-31,
DEP-0193,APP-004,HRPortal,hibernate-core,3.12.5,Dual-MIT/Commercial,transitive,2022-02-07,
DEP-0194,APP-004,HRPortal,celery,2.9.6,Dual-MIT/Commercial,transitive,2025-04-19,
DEP-0195,APP-004,HRPortal,psycopg2,3.6.1,BSD-3-Clause,transitive,2025-04-06,
DEP-0196,APP-004,HRPortal,six,2.8.4,MIT,transitive,2024-09-03,
DEP-0197,APP-004,HRPortal,scikit-learn,4.8.2,Unlicense,transitive,2025-04-14,
DEP-0198,APP-004,HRPortal,setuptools,2.12.1,Unlicense,transitive,2024-12-28,
DEP-0199,APP-004,HRPortal,uvicorn,4.6.8,MIT,transitive,2026-01-30,
DEP-0200,APP-004,HRPortal,matplotlib,1.5.7,Dual-MIT/Commercial,transitive,2025-04-16,
DEP-0201,APP-005,AnalyticsDashboard,moment,1.14.1,BSD-3-Clause,direct,2025-01-16,
DEP-0202,APP-005,AnalyticsDashboard,formidable,5.8.5,Dual-MIT/Commercial,direct,2025-04-29,postgresql-jdbc:1.7.0
DEP-0203,APP-005,AnalyticsDashboard,cheerio,3.15.7,ISC,direct,2020-07-29,testify:1.5.4
DEP-0204,APP-005,AnalyticsDashboard,bcrypt,1.9.8,Apache-2.0,direct,2025-10-07,axios:2.9.3
DEP-0205,APP-005,AnalyticsDashboard,mocha,4.10.8,Unlicense,direct,2026-01-09,micrometer-core:4.5.4;express:1.7.1
DEP-0206,APP-005,AnalyticsDashboard,nanoid,3.12.1,Dual-MIT/Commercial,direct,2025-10-20,postgresql-jdbc:1.3.1
DEP-0207,APP-005,AnalyticsDashboard,winston,1.4.10,ISC,direct,2024-12-28,axios:3.9.5
DEP-0208,APP-005,AnalyticsDashboard,sequelize,3.2.9,AGPL-3.0,direct,2024-10-09,postgresql-jdbc:1.0.5;axios:3.1.2
DEP-0209,APP-005,AnalyticsDashboard,commander,2.13.9,BSD-3-Clause,direct,2025-01-03,bull:2.3.4
DEP-0210,APP-005,AnalyticsDashboard,dotenv,4.4.4,MIT,direct,2024-10-26,bull:4.2.0;echo:2.10.3
DEP-0211,APP-005,AnalyticsDashboard,setuptools,5.13.9,BSD-3-Clause,direct,2025-01-18,
DEP-0212,APP-005,AnalyticsDashboard,babel-core,5.15.3,ISC,direct,2024-07-09,testify:3.1.4
DEP-0213,APP-005,AnalyticsDashboard,node-fetch,2.8.7,Apache-2.0,direct,2026-04-11,micrometer-core:3.9.0;echo:3.8.0;dayjs:4.7.4
DEP-0214,APP-005,AnalyticsDashboard,morgan,5.10.6,Apache-2.0,direct,2023-05-08,testify:3.0.5;webpack:4.9.1
DEP-0215,APP-005,AnalyticsDashboard,multer,5.0.4,LGPL-2.1,direct,2026-02-21,
DEP-0216,APP-005,AnalyticsDashboard,mongoose,1.3.9,BSD-3-Clause,direct,2024-11-27,
DEP-0217,APP-005,AnalyticsDashboard,nodemon,2.15.2,MIT,direct,2026-01-31,helmet:4.6.1;dayjs:4.10.1;bull:2.9.5
DEP-0218,APP-005,AnalyticsDashboard,eslint,1.8.1,BSD-3-Clause,direct,2025-11-28,
DEP-0219,APP-005,AnalyticsDashboard,next,4.15.4,LGPL-2.1,direct,2025-04-20,echo:3.6.4;postgresql-jdbc:3.5.2;micrometer-core:3.1.2
DEP-0220,APP-005,AnalyticsDashboard,cors,5.12.7,ISC,direct,2025-11-15,testify:2.5.4
DEP-0221,APP-005,AnalyticsDashboard,knex,1.0.1,GPL-2.0,direct,2025-08-31,testify:3.4.1
DEP-0222,APP-005,AnalyticsDashboard,chalk,1.0.9,Dual-MIT/Commercial,direct,2026-02-04,testify:1.1.4
DEP-0223,APP-005,AnalyticsDashboard,vue,1.5.4,LGPL-2.1,direct,2025-03-11,testify:3.4.1;echo:1.4.0
DEP-0224,APP-005,AnalyticsDashboard,react,4.12.5,Apache-2.0,direct,2025-10-17,protobuf-java:2.10.3;express:1.2.4;graphql:4.3.4
DEP-0225,APP-005,AnalyticsDashboard,typescript,4.8.1,Dual-MIT/Commercial,direct,2025-10-23,
DEP-0226,APP-005,AnalyticsDashboard,puppeteer,1.12.4,MIT,direct,2025-10-16,graphql:1.8.1
DEP-0227,APP-005,AnalyticsDashboard,inquirer,1.12.7,BSD-2-Clause,direct,2025-07-16,
DEP-0228,APP-005,AnalyticsDashboard,passport,1.11.8,Dual-MIT/Commercial,direct,2026-03-26,
DEP-0229,APP-005,AnalyticsDashboard,apollo-server,5.1.6,MIT,direct,2025-06-03,mysql-connector-java:4.3.1
DEP-0230,APP-005,AnalyticsDashboard,react-dom,5.7.7,BSD-3-Clause,direct,2025-09-04,postgresql-jdbc:1.5.5;mysql-connector-java:1.6.0;axios:2.10.5
DEP-0231,APP-005,AnalyticsDashboard,angular-core,5.4.9,BSD-3-Clause,direct,2025-09-26,express:2.0.1;postgresql-jdbc:1.4.0;protobuf-java:4.9.1
DEP-0232,APP-005,AnalyticsDashboard,jest,5.2.1,MIT,direct,2025-08-11,dayjs:4.5.0
DEP-0233,APP-005,AnalyticsDashboard,hibernate-validator,5.4.5,ISC,direct,2024-08-04,
DEP-0234,APP-005,AnalyticsDashboard,spring-boot-starter,2.11.8,Apache-2.0,direct,2023-07-18,webpack:2.0.3
DEP-0235,APP-005,AnalyticsDashboard,yargs,1.0.0,BSD-2-Clause,direct,2025-10-01,protobuf-java:2.10.2
DEP-0236,APP-005,AnalyticsDashboard,postgresql-jdbc,4.6.3,MIT,transitive,2025-10-25,
DEP-0237,APP-005,AnalyticsDashboard,micrometer-core,1.10.4,UNKNOWN,transitive,2024-09-29,
DEP-0238,APP-005,AnalyticsDashboard,helmet,1.9.5,ISC,transitive,2026-03-04,
